userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
test1,pass1,CA,Academic Magnet High School,North Charleston,SC,2.56,2026,Bioengineering and Biomedical Engineering,Music,670,230,17,10,12,1,10,600,800,270,430,410,370,510,250,280,10
test2,pass2,MD,Academic Magnet High School,North Charleston,SC,1.88,2028,Respiratory Care Therapy/Therapist,Design and Applied Arts,530,420,12,16,3,14,11,350,410,650,780,720,540,750,440,210,2
test3,pass3,MN,Academic Magnet High School,North Charleston,SC,3.54,2024,Art Teacher Education,Geology/Earth Science,300,740,3,20,15,30,17,500,370,250,710,410,380,790,720,470,0
test4,pass4,MA,Academic Magnet High School,North Charleston,SC,2.73,2028,Atmospheric Sciences and Meteorology,Mechanical Engineering,770,280,21,11,12,20,16,720,240,660,310,210,570,530,570,620,4
test5,pass5,IL,Academic Magnet High School,North Charleston,SC,1.07,2022,Pharmacology,Drawing,380,650,31,32,7,9,20,790,440,240,550,640,270,310,460,740,10
test6,pass6,AZ,Academic Magnet High School,North Charleston,SC,3.31,2020,Religion/Religious Studies,Visual and Performing Arts,640,530,18,25,9,4,14,490,430,400,700,580,500,550,220,510,5
test7,pass7,VA,Academic Magnet High School,North Charleston,SC,0.94,2025,Sustainability Studies,Social Work,450,500,11,8,5,17,10,800,430,240,380,290,570,730,400,630,7
test8,pass8,MI,Academic Magnet High School,North Charleston,SC,1.67,2024,Journalism,Economics,310,590,5,15,31,32,21,430,420,410,600,590,550,500,600,550,3
test9,pass9,IL,Academic Magnet High School,North Charleston,SC,2.85,2024,Music,Music,360,550,3,7,27,29,16,760,560,220,510,320,390,280,310,780,7
test10,pass10,AZ,Academic Magnet High School,North Charleston,SC,2.18,2025,Economics,Human Computer Interaction,750,720,19,15,17,13,16,290,620,740,600,510,780,280,640,290,9
test11,pass11,ID,Academy for Information Technology,Scotch Plains,NJ,0.03,2025,Architecture and Related Services,Graphic Communications,530,780,16,34,1,13,16,760,450,270,220,370,700,570,780,620,8
test12,pass12,IN,Academy for Information Technology,Scotch Plains,NJ,3.22,2020,Multi-/Interdisciplinary Studies,Sustainability Studies,470,510,2,26,25,23,19,600,480,300,480,300,600,780,460,730,9
test13,pass13,NH,Academy for Information Technology,Scotch Plains,NJ,2.06,2027,Psychology,Art/Art Studies,600,740,33,18,16,5,18,480,390,290,510,240,790,560,490,420,7
test14,pass14,NM,Academy for Information Technology,Scotch Plains,NJ,3.55,2024,Biological and Physical Sciences,Ecology,280,310,4,5,22,25,14,720,300,320,260,530,250,250,600,450,9
test15,pass15,NE,Academy for Information Technology,Scotch Plains,NJ,2.06,2027,Biochemistry,Fine/Studio Arts,280,640,27,13,16,5,15,490,390,480,320,520,500,500,790,470,0
