userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed,
jcool,joe$pass2,NY,Ward Melville High School,East Setauket,NY,3.7,2024,Physics,Mathematics,770,660,31,33,30,34,32,,,690,730,720,,,,740,4,
chuck,bob!pass1,NJ,Ridgewood High School,Ridegwood,NJ,3.5,2024,English,,670,750,35,28,33,32,32,740,680,690,,,,,,,,
student1,pass1,DC,Academic Magnet High School,North Charleston,SC,3.2,2022,Accounting,,340,670,27,23,24,30,26,,,,,,,,,,,
student2,pass2,AL,Academy for Information Technology,Scotch Plains,NJ,3,2020,Computer and Information Sciences,,500,520,20,21,19,18,20,,,,,,,,,,,
student3,pass3,AK,Alpharetta High School,Alpharetta,GA,2.5,2021,African-American/Black Studies,,,,18,19,20,22,20,,,,,,,,,,,
student4,pass4,AZ,Arcadia High School,Arcadia,OH,3,2024,,,600,630,,,,,,,,,,,,,,,,
student5,pass5,AR,Aragon High School,San Mateo,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student6,pass6,CA,Arizona College Prep Erie Campus,Chandler,AZ,3,2024,,,,,,,,,,,,,,,,,,,,
student7,pass7,CO,Ashley Ridge High School,Summerville,SC,3,2024,,,,,,,,,,,,,,,,,,,,
student8,pass8,CT,Baccalaureate School for Global Education,Long Island City,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student9,pass9,DE,Bard High School Early College,New York,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student10,pass10,DC,BASIS Flagstaff,Flagstaff,AZ,3,2024,,,,,,,,,,,,,,,,,,,,
student11,pass11,FL,BASIS Tucson North,Tucson,AZ,3,2024,,,,,,,,,,,,,,,,,,,,
student12,pass12,GA,Bayless Senior High School,St Louis,MO,3,2024,,,,,,,,,,,,,,,,,,,,
student13,pass13,HI,Bellevue High School,Bellevue,WA,3,2024,,,,,,,,,,,,,,,,,,,,
student14,pass14,ID,Blair High School,Pasadena,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student15,pass15,IL,Blue Valley North High School,Overland Park,KS,3,2024,,,,,,,,,,,,,,,,,,,,
student16,pass16,IN,Brighton High School,Rochester,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student17,pass17,IA,Brooklyn Technical High School,Brooklyn,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student18,pass18,KS,Campolindo High School,Moraga,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student19,pass19,KY,Canyon Crest Academy,San Diego,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student20,pass20,LA,Carrboro High School,Carrboro,NC,3,2024,,,,,,,,,,,,,,,,,,,,
student21,pass21,ME,Carroll Senior High School,Southlake,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student22,pass22,MT,Cedar Key High School,Cedar Key,FL,3,2024,,,,,,,,,,,,,,,,,,,,
student23,pass23,NE,Clements High School,Sugar Land,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student24,pass24,NV,Columbia River High School,Vancouver,WA,3,2024,,,,,,,,,,,,,,,,,,,,
student25,pass25,NH,Columbus High School,Columbus,GA,3,2024,,,,,,,,,,,,,,,,,,,,
